complaint_id,incident_entity_id,graphsage_probability,risk_level,confidence_tier,nearest_reference_similarity,novelty_status,multi_hop_evidence,high_activity_evidence,cash_out_evidence,terminal_evidence,supporting_signal_count,top_terminal,top_terminal_city,terminal_score,confidence_reason
C000003,ENT_000325,1.0,SUSPICIOUS,HIGH_CONFIDENCE,0.9906,KNOWN_PATTERN,True,True,True,True,5,ATM_014,Kochi,0.8093,"High-confidence suspicious incident: GraphSAGE risk is 1.00, the graph spans 3 hops with 5 supporting signals, involves a cash-out terminal (ATM_014 in Kochi, score: 0.81), and its graph structure closely matches previously observed reference patterns (similarity 0.99)."
C000014,ENT_000292,1.0,SUSPICIOUS,HIGH_CONFIDENCE,0.9968,KNOWN_PATTERN,True,True,True,True,5,ATM_018,Bengaluru,0.9045,"High-confidence suspicious incident: GraphSAGE risk is 1.00, the graph spans 3 hops with 5 supporting signals, involves a cash-out terminal (ATM_018 in Bengaluru, score: 0.90), and its graph structure closely matches previously observed reference patterns (similarity 1.00)."
C000016,ENT_000598,0.9993,SUSPICIOUS,HIGH_CONFIDENCE,0.994,KNOWN_PATTERN,True,True,True,False,4,ATM_011,Kolkata,0.702,"High-confidence suspicious incident: GraphSAGE risk is 1.00, the graph spans 3 hops with 4 supporting signals, involves a cash-out terminal (ATM_011 in Kolkata, score: 0.70), and its graph structure closely matches previously observed reference patterns (similarity 0.99)."
C000024,ENT_000425,0.9947,SUSPICIOUS,HIGH_CONFIDENCE,0.9927,KNOWN_PATTERN,True,True,True,True,5,ATM_015,Chandigarh,0.8345,"High-confidence suspicious incident: GraphSAGE risk is 0.99, the graph spans 3 hops with 5 supporting signals, involves a cash-out terminal (ATM_015 in Chandigarh, score: 0.83), and its graph structure closely matches previously observed reference patterns (similarity 0.99)."
C000030,ENT_000063,1.0,SUSPICIOUS,HIGH_CONFIDENCE,0.9855,KNOWN_PATTERN,True,True,True,False,4,ATM_011,Kolkata,0.6586,"High-confidence suspicious incident: GraphSAGE risk is 1.00, the graph spans 3 hops with 4 supporting signals, involves a cash-out terminal (ATM_011 in Kolkata, score: 0.66), and its graph structure closely matches previously observed reference patterns (similarity 0.99)."
C000256,ENT_000695,0.5829,ELEVATED_RISK,MEDIUM_CONFIDENCE,0.9791,KNOWN_PATTERN,True,True,True,False,4,ATM_017,Delhi,0.7047,"Medium-confidence suspicious incident: elevated GraphSAGE risk (0.58) and multi-hop activity were detected, but supporting terminal or reference-pattern evidence is partial or evolving."
C000340,ENT_000133,0.5928,ELEVATED_RISK,MEDIUM_CONFIDENCE,0.9778,KNOWN_PATTERN,True,True,True,False,4,ATM_011,Kolkata (Park Street),0.7214,"Medium-confidence suspicious incident: elevated GraphSAGE risk (0.59) and multi-hop activity were detected, but supporting terminal or reference-pattern evidence is partial or evolving."
C000386,ENT_000359,0.5663,ELEVATED_RISK,MEDIUM_CONFIDENCE,0.9433,KNOWN_PATTERN,True,True,True,False,4,ATM_009,Jaipur (MI Road),0.771,"Medium-confidence suspicious incident: elevated GraphSAGE risk (0.57) and multi-hop activity were detected, but supporting terminal or reference-pattern evidence is partial or evolving."
C000488,ENT_000582,0.5045,ELEVATED_RISK,MEDIUM_CONFIDENCE,0.9806,KNOWN_PATTERN,True,True,True,False,4,ATM_038,Kolkata,0.4923,"Medium-confidence suspicious incident: elevated GraphSAGE risk (0.50) and multi-hop activity were detected, but supporting terminal or reference-pattern evidence is partial or evolving."
C000510,ENT_000615,0.5652,ELEVATED_RISK,MEDIUM_CONFIDENCE,0.9816,KNOWN_PATTERN,True,True,True,False,4,ATM_033,Bengaluru,0.5709,"Medium-confidence suspicious incident: elevated GraphSAGE risk (0.57) and multi-hop activity were detected, but supporting terminal or reference-pattern evidence is partial or evolving."
C000001,ENT_000090,0.0001,LOW_RISK,NORMAL,1.0,KNOWN_PATTERN,False,False,False,False,0,NONE,NONE,0.0,No significant laundering pattern detected at the configured risk threshold.
C000002,ENT_000451,0.0,LOW_RISK,NORMAL,1.0,KNOWN_PATTERN,False,False,False,False,0,NONE,NONE,0.0,No significant laundering pattern detected at the configured risk threshold.
C000004,ENT_000493,0.0014,LOW_RISK,NORMAL,0.992,KNOWN_PATTERN,True,False,False,False,1,NONE,NONE,0.0,No significant laundering pattern detected at the configured risk threshold.
C000005,ENT_000650,0.0001,LOW_RISK,NORMAL,1.0,KNOWN_PATTERN,False,False,False,False,0,NONE,NONE,0.0,No significant laundering pattern detected at the configured risk threshold.
C000006,ENT_000669,0.0008,LOW_RISK,NORMAL,0.9999,KNOWN_PATTERN,False,False,False,False,0,NONE,NONE,0.0,No significant laundering pattern detected at the configured risk threshold.
