complaint_id,incident_entity_id,graphsage_probability,threshold,policy_tier,alert_decision,confidence_tier,investigator_summary
C000003,ENT_000325,0.0,0.3,BALANCED_TRIAGE,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000003,ENT_000325,0.0,0.5,BALANCED_TRIAGE,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000003,ENT_000325,0.0,0.7,HIGH_PRECISION,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000003,ENT_000325,0.0,0.9,HIGH_CONFIDENCE_ALERT,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000004,ENT_000493,1.0,0.3,BALANCED_TRIAGE,ALERT,MEDIUM_CONFIDENCE,"Elevated transaction risk detected around entity ENT_000493. Multi-hop activity observed, but supporting terminal or structural reference evidence remains partial."
C000004,ENT_000493,1.0,0.5,BALANCED_TRIAGE,ALERT,MEDIUM_CONFIDENCE,"Elevated transaction risk detected around entity ENT_000493. Multi-hop activity observed, but supporting terminal or structural reference evidence remains partial."
C000004,ENT_000493,1.0,0.7,HIGH_PRECISION,ALERT,MEDIUM_CONFIDENCE,"Elevated transaction risk detected around entity ENT_000493. Multi-hop activity observed, but supporting terminal or structural reference evidence remains partial."
C000004,ENT_000493,1.0,0.9,HIGH_CONFIDENCE_ALERT,ALERT,MEDIUM_CONFIDENCE,"Elevated transaction risk detected around entity ENT_000493. Multi-hop activity observed, but supporting terminal or structural reference evidence remains partial."
C000001,ENT_000090,0.0,0.3,BALANCED_TRIAGE,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000001,ENT_000090,0.0,0.5,BALANCED_TRIAGE,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000001,ENT_000090,0.0,0.7,HIGH_PRECISION,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000001,ENT_000090,0.0,0.9,HIGH_CONFIDENCE_ALERT,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000014,ENT_000292,0.0,0.3,BALANCED_TRIAGE,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000014,ENT_000292,0.0,0.5,BALANCED_TRIAGE,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000014,ENT_000292,0.0,0.7,HIGH_PRECISION,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000014,ENT_000292,0.0,0.9,HIGH_CONFIDENCE_ALERT,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000020,ENT_000659,0.0,0.3,BALANCED_TRIAGE,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000020,ENT_000659,0.0,0.5,BALANCED_TRIAGE,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000020,ENT_000659,0.0,0.7,HIGH_PRECISION,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
C000020,ENT_000659,0.0,0.9,HIGH_CONFIDENCE_ALERT,NO_ALERT,NORMAL,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.
