complaint_id,incident_entity_id,graphsage_probability,predicted_risk_class,confidence_tier,top_terminal,top_terminal_city,terminal_score,explanation_reasons,explanation_count,investigator_summary,terminal_evidence_summary
C000014,ENT_000292,0.9999,1,HIGH_CONFIDENCE,ATM_018,Bengaluru,0.8199,"GraphSAGE GNN assessed an elevated risk probability of 0.9999 (Tier: HIGH_CONFIDENCE). ; Unusual concentration of transaction activity observed within the 72-hour incident window. ; The incident graph spans 3 transaction hops, indicating multi-stage fund routing away from the complaint account. ; Cumulative transaction volume reached ₹1,629,314.82 with a peak single transfer of ₹445,550.06. ; Subnetwork connects 18 entities across 19 directed transaction edges (average node degree: 2.11, incident in-degree: 1, out-degree: 1). ; Likely downstream cash exit identified at terminal ATM_018 in Bengaluru (terminal risk score: 0.82, ₹95,538.10 withdrawn across 1 transaction(s)). ; Graph topology exhibits high structural similarity (1.00) to cataloged reference laundering patterns.",7,High-risk multi-hop transaction activity with downstream cash-out behavior was detected. Priority investigation recommended for root entity ENT_000292 and exit terminal ATM_018 (Bengaluru).,"Terminal: ATM_018 (Bengaluru) | Risk Score: 0.82 | Distance: 1 hop(s) | Cash Volume: ₹95,538.10 (1 tx) | Timing Delta: 10.1h from incident"
C000003,ENT_000325,0.9994,1,HIGH_CONFIDENCE,NONE,NONE,0.0,"GraphSAGE GNN assessed an elevated risk probability of 0.9994 (Tier: HIGH_CONFIDENCE). ; Unusual concentration of transaction activity observed within the 72-hour incident window. ; The incident graph spans 3 transaction hops, indicating multi-stage fund routing away from the complaint account. ; Cumulative transaction volume reached ₹1,061,795.51 with a peak single transfer of ₹241,832.58. ; Subnetwork connects 12 entities across 13 directed transaction edges (average node degree: 2.17, incident in-degree: 1, out-degree: 1). ; Graph topology exhibits high structural similarity (1.00) to cataloged reference laundering patterns.",6,High-risk multi-hop transaction activity with strong graph evidence was detected. Priority investigation recommended for root entity ENT_000325 and connected intermediaries.,NONE
C000062,ENT_000118,0.5021,1,MEDIUM_CONFIDENCE,NONE,NONE,0.0,"GraphSAGE GNN assessed an elevated risk probability of 0.5021 (Tier: MEDIUM_CONFIDENCE). ; Unusual concentration of transaction activity observed within the 72-hour incident window. ; The incident graph spans 3 transaction hops, indicating multi-stage fund routing away from the complaint account. ; Cumulative transaction volume reached ₹201,471.90 with a peak single transfer of ₹89,869.32. ; Subnetwork connects 11 entities across 10 directed transaction edges (average node degree: 1.82, incident in-degree: 2, out-degree: 0). ; Graph topology exhibits high structural similarity (0.99) to cataloged reference laundering patterns.",6,"Elevated transaction risk detected around entity ENT_000118. Multi-hop activity observed, but supporting terminal or structural reference evidence remains partial.",NONE
DEMO_NOVEL_RING,ENT_000999,0.88,1,FIRST_TIME_RING_CANDIDATE,NONE,NONE,0.0,"GraphSAGE GNN assessed an elevated risk probability of 0.8800 (Tier: FIRST_TIME_RING_CANDIDATE) ; Unusual concentration of transaction activity observed within the 72-hour incident window ; The incident graph spans 3 transaction hops, indicating multi-stage fund routing away from the complaint account ; Cumulative transaction volume reached ₹412,000.00 with a peak single transfer of ₹180,000.00 ; Potential novel transaction structure: Graph topology exhibits low similarity (0.73) to cataloged reference patterns. Treat as an emerging ring lead.",5,Potential novel transaction structure detected around entity ENT_000999. Elevated model risk with low similarity to known reference patterns warrants manual new-pattern review.,NONE
C000001,ENT_000090,0.0008,0,NORMAL,NONE,NONE,0.0,"Model-derived risk probability is 0.0008, remaining well below the 0.50 suspicious triage threshold. ; Incident subgraph contains minimal structural connectivity (1 entity node(s), 0 directed edge(s)). ; Total transaction volume within the 72-hour incident window is ₹0.00 (average transfer: ₹0.00). ; No multi-hop fund routing or complex layering chains detected (max hop distance: 0). ; No illicit ATM cash-withdrawal terminal connections identified in the incident window.",5,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.,NONE
C000011,ENT_000467,0.0012,0,NORMAL,NONE,NONE,0.0,"Model-derived risk probability is 0.0012, remaining well below the 0.50 suspicious triage threshold. ; Incident subgraph contains minimal structural connectivity (2 entity node(s), 1 directed edge(s)). ; Total transaction volume within the 72-hour incident window is ₹3,368.11 (average transfer: ₹3,368.11). ; No multi-hop fund routing or complex layering chains detected (max hop distance: 1). ; No illicit ATM cash-withdrawal terminal connections identified in the incident window.",5,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.,NONE
C000012,ENT_000220,0.0006,0,NORMAL,NONE,NONE,0.0,"Model-derived risk probability is 0.0006, remaining well below the 0.50 suspicious triage threshold. ; Incident subgraph contains minimal structural connectivity (1 entity node(s), 0 directed edge(s)). ; Total transaction volume within the 72-hour incident window is ₹0.00 (average transfer: ₹0.00). ; No multi-hop fund routing or complex layering chains detected (max hop distance: 0). ; No illicit ATM cash-withdrawal terminal connections identified in the incident window.",5,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.,NONE
C000013,ENT_000461,0.0073,0,NORMAL,NONE,NONE,0.0,"Model-derived risk probability is 0.0073, remaining well below the 0.50 suspicious triage threshold. ; Incident subgraph contains minimal structural connectivity (3 entity node(s), 2 directed edge(s)). ; Total transaction volume within the 72-hour incident window is ₹47,600.70 (average transfer: ₹23,800.35). ; No multi-hop fund routing or complex layering chains detected (max hop distance: 2). ; No illicit ATM cash-withdrawal terminal connections identified in the incident window.",5,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.,NONE
C000014,ENT_000292,0.9999,1,HIGH_CONFIDENCE,ATM_018,Bengaluru,0.8199,"GraphSAGE GNN assessed an elevated risk probability of 0.9999 (Tier: HIGH_CONFIDENCE). ; Unusual concentration of transaction activity observed within the 72-hour incident window. ; The incident graph spans 3 transaction hops, indicating multi-stage fund routing away from the complaint account. ; Cumulative transaction volume reached ₹1,629,314.82 with a peak single transfer of ₹445,550.06. ; Subnetwork connects 18 entities across 19 directed transaction edges (average node degree: 2.11, incident in-degree: 1, out-degree: 1). ; Likely downstream cash exit identified at terminal ATM_018 in Bengaluru (terminal risk score: 0.82, ₹95,538.10 withdrawn across 1 transaction(s)). ; Graph topology exhibits high structural similarity (1.00) to cataloged reference laundering patterns.",7,High-risk multi-hop transaction activity with downstream cash-out behavior was detected. Priority investigation recommended for root entity ENT_000292 and exit terminal ATM_018 (Bengaluru).,"Terminal: ATM_018 (Bengaluru) | Risk Score: 0.82 | Distance: 1 hop(s) | Cash Volume: ₹95,538.10 (1 tx) | Timing Delta: 10.1h from incident"
C000015,ENT_000252,0.0008,0,NORMAL,NONE,NONE,0.0,"Model-derived risk probability is 0.0008, remaining well below the 0.50 suspicious triage threshold. ; Incident subgraph contains minimal structural connectivity (1 entity node(s), 0 directed edge(s)). ; Total transaction volume within the 72-hour incident window is ₹0.00 (average transfer: ₹0.00). ; No multi-hop fund routing or complex layering chains detected (max hop distance: 0). ; No illicit ATM cash-withdrawal terminal connections identified in the incident window.",5,No significant laundering pattern was detected at the configured risk threshold. Activity consistent with benign peer-to-peer transfers.,NONE
